user_id,age,income,clicks,purchase_amount,session_duration,content_variety,engagement_score,num_transactions,avg_monthly_spend,avg_cart_value,browsing_depth,revisit_rate,scroll_activity,time_on_site,interaction_count,preferred_price_range,discount_usage_rate,wishlist_size,product_views,repeat_purchase_gap (days),churn_risk_score,loyalty_index,screen_brightness,battery_percentage,cart_abandonment_count,browser_version,background_app_count,session_inactivity_duration,network_jitter,region_code,subscriber,label
U7392,,23053,10,500.0,17.34,0.36661,37.29781,3,187.44,119.61,13,0.255,59,19.0,18,335.16,0.341,3,41,133.0,0.5798254079164826,15.0,4.0,2.0,8,3.17.97,10,22.75,8.0,Z999,False,user_3
U2702,56,20239,11,913.33,22.22,0.6137,59.36342,5,145.15,189.06,14,0.54,65,31.0,8,930.0,0.374,4,70,92.0,0.4327307120675647,33.0,4.5,63.0,5,1.57.10,8,1.75,4.0,U428,True,user_2
U2461,,13907,9,1252.62,41.57,0.80368,76.78706,7,282.03,161.75,23,0.395,139,44.0,20,1216.41,0.274,5,45,67.0,0.3081662861024429,24.0,1.3,22.0,2,2.16.94,12,29.33,18.0,Z999,True,user_3
U7475,,26615,12,500.0,30.17,0.26499,30.19441,10,195.35,23.91,15,0.204,99,35.0,16,398.62,0.252,6,62,149.0,0.7081707888901038,11.0,4.2,77.0,9,9.90.20,4,21.61,22.0,X123,False,user_3
U6040,32,27958,13,500.0,65.27,0.36385,37.12153,5,439.68,57.68,39,0.313,180,62.0,30,462.73,0.267,0,67,117.0,0.5954161142983342,19.0,4.6,30.0,9,1.99.38,7,7.58,52.0,S043,False,user_1
U3633,,33387,16,1234.58,45.58,0.83589,78.16599,4,423.16,320.68,27,0.65,143,54.0,18,1350.19,0.387,2,85,71.0,0.173815597961211,38.0,1.8,61.0,3,9.60.42,14,28.8,43.0,X789,True,user_3
U3153,,24650,14,500.0,36.89,0.23415,26.74979,5,270.2,91.7,23,0.311,87,35.0,18,580.86,0.264,4,77,132.0,0.7174921535960547,20.0,1.4,51.0,8,7.07.91,7,14.86,9.0,X789,False,user_3
U6029,,11445,5,500.0,39.47,0.18249,20.97626,5,205.83,120.19,22,0.232,125,58.0,27,509.72,0.166,2,25,138.0,0.8409003868688416,16.0,2.0,88.0,6,9.36.74,4,16.3,30.0,Z999,True,user_3
U8612,28,16881,7,1628.65,67.86,0.17422,20.17899,11,852.22,127.62,39,0.152,199,61.0,16,1538.94,0.342,6,24,154.0,0.8187791413494455,17.0,2.1,37.0,7,3.32.48,6,7.44,16.0,O146,True,user_1
U3984,45,24562,10,500.0,8.8,0.38423,41.62188,6,87.26,91.59,7,0.239,28,13.0,3,364.04,0.352,2,48,106.0,0.5342998378605077,11.0,1.9,51.0,4,3.67.88,10,29.89,36.0,I514,True,user_2
U4305,40,11687,6,500.0,0.78,0.4453,48.19738,9,98.76,92.92,1,0.279,7,23.0,14,405.82,0.063,4,30,105.0,0.5325200401410068,18.0,3.4,54.0,7,7.78.93,10,9.13,17.0,V260,True,user_2
U2073,44,22568,11,500.0,34.91,0.23926,26.9492,3,67.02,178.97,22,0.239,108,45.0,15,501.22,0.275,2,38,149.0,0.7878966383590931,15.0,2.2,13.0,3,2.30.21,15,19.26,12.0,X456,False,user_3
U5309,31,10000,6,500.0,14.43,0.41917,45.0756,5,190.02,42.95,10,0.286,64,22.0,9,503.33,0.173,2,8,106.0,0.5964770927794211,15.0,3.9,55.0,3,3.79.64,15,17.5,20.0,P465,True,user_2
U0604,49,20249,9,626.37,42.04,0.17802,21.89601,7,87.29,88.38,27,0.189,126,45.0,15,561.23,0.125,3,32,160.0,0.8342619816391164,11.0,3.2,50.0,6,8.98.52,7,21.42,48.0,X789,False,user_3
U8121,49,20138,9,500.0,12.18,0.52177,46.6841,3,49.59,141.61,6,0.353,39,13.0,16,587.78,0.274,2,25,94.0,0.565169853186961,19.0,2.9,19.0,7,4.15.61,5,2.21,16.0,Q571,False,user_2
U5375,47,31057,15,500.0,41.17,0.68276,72.08817,6,166.81,68.82,27,0.475,143,39.0,13,538.45,0.497,1,70,79.0,0.22782961910538274,25.0,4.5,63.0,2,3.61.65,13,14.9,2.0,R820,True,user_1
U2891,34,14696,6,643.16,15.33,0.54602,51.21052,1,73.46,570.75,6,0.27,74,10.0,16,378.03,0.25,2,22,93.0,0.45559983722930264,12.0,3.5,52.0,3,9.17.57,14,6.9,48.0,J464,False,user_2
U1854,34,20686,11,500.0,62.6,0.0418,0.0,5,332.62,86.11,38,0.05,187,47.0,16,510.92,0.272,5,55,179.0,1.0,7.0,2.2,16.0,7,1.52.29,5,3.67,22.0,O577,False,user_1
U2658,,17813,9,500.0,38.64,0.23277,24.18913,10,115.96,57.52,21,0.221,108,45.0,7,575.55,0.214,3,52,145.0,0.7445047170773432,9.0,1.5,64.0,8,3.64.03,14,15.77,38.0,X456,False,user_3
U0693,18,20007,10,731.87,6.77,0.57654,59.68169,7,244.76,92.75,7,0.404,13,0.0,0,752.11,0.285,0,52,89.0,0.32732191137303146,21.0,3.2,48.0,4,5.70.95,5,13.59,3.0,S943,False,user_2
U9541,,18448,8,500.0,30.54,0.73798,68.13085,6,204.93,84.0,21,0.475,98,37.0,13,558.15,0.311,1,44,76.0,0.3429464218925693,29.0,4.0,91.0,3,9.13.04,11,13.63,78.0,Z001,True,user_3
U3095,50,22493,10,500.0,0.0,0.48831,47.71274,6,167.1,67.87,2,0.416,0,0.0,1,473.65,0.258,5,59,98.0,0.5653553235354493,23.0,3.8,55.0,4,9.81.47,6,11.4,12.0,L349,False,user_2
U9237,,26885,13,500.0,40.3,0.18308,18.00166,5,151.07,102.77,24,0.16,94,31.0,12,493.47,0.379,0,61,163.0,0.8167673702515931,10.0,4.3,26.0,5,4.94.46,12,9.37,7.0,X456,False,user_3
U9260,61,22780,11,500.0,51.14,0.14301,18.33578,9,99.61,33.99,30,0.203,170,65.0,17,495.56,0.301,6,28,144.0,0.8386326720564788,11.0,4.2,75.0,4,2.24.26,13,0.86,28.0,X789,False,user_3
U0143,,23351,11,500.0,36.25,0.16081,20.76567,8,63.75,86.2,21,0.204,120,22.0,12,518.41,0.365,1,37,140.0,0.7592158440968071,8.0,3.2,44.0,4,6.36.30,13,17.8,35.0,X123,True,user_1
U5601,28,26556,13,2459.74,67.01,0.95429,100.0,6,638.81,369.45,41,0.553,218,60.0,23,2401.83,0.566,2,69,29.0,0.0,35.0,2.2,84.0,4,2.16.19,11,27.31,4.0,O871,True,user_1
U7925,31,28973,13,500.0,21.12,0.369,42.6426,7,357.48,71.3,14,0.317,83,15.0,15,609.25,0.349,4,66,111.0,0.5012183710344735,20.0,4.3,46.0,3,2.41.64,10,14.72,15.0,L207,False,user_2
U2399,46,25346,13,500.0,72.82,0.57278,51.55013,12,317.79,61.26,38,0.466,221,74.0,25,642.28,0.31,1,71,109.0,0.4415568241254792,28.0,2.9,23.0,5,6.12.57,13,8.81,10.0,P940,True,user_1
U9791,35,21109,10,500.0,41.93,0.16416,13.64603,5,185.57,104.64,26,0.137,129,36.0,4,446.9,0.245,5,78,156.0,0.921008047129093,8.0,1.7,51.0,5,5.00.16,15,9.24,5.0,C614,False,user_2
U6191,,15057,8,500.0,37.15,0.15851,17.392,7,352.86,111.81,23,0.127,126,52.0,16,383.13,0.249,6,42,154.0,0.6934884762441935,9.0,4.6,12.0,5,8.25.30,7,7.83,21.0,Z001,False,user_1
U7851,,36143,17,500.0,39.63,0.80556,82.00711,5,154.79,91.9,25,0.577,100,26.0,22,365.47,0.382,1,84,58.0,0.16443487424051131,32.0,2.0,41.0,2,2.73.39,6,13.16,25.0,X123,False,user_3
U7705,,34050,17,500.0,44.2,0.8653,83.33099,3,87.07,148.48,26,0.632,127,85.0,19,540.5,0.396,4,88,62.0,0.1453398815609775,30.0,1.8,57.0,0,3.46.28,6,1.61,8.0,X456,False,user_3
U1419,30,35521,15,2776.48,63.49,0.95049,100.0,4,1346.9,565.87,35,0.635,189,53.0,20,2835.26,0.623,10,63,26.0,0.02377923721368369,47.0,1.9,62.0,5,5.59.07,11,7.09,18.0,O258,True,user_2
